Time (s),4 - long,2 - long,0 - long
0,2.66E-15,2.66E-15,2.66E-15
0.001,0.000321176,0.000309389,9.11E-05
0.001180433,0.000318498,0.000306736,0.00011051
0.001367376,0.000319108,0.000307357,0.000110209
0.001566275,0.000319119,0.000307066,0.000110221
0.001781915,0.000319418,0.000307975,0.000109907
0.002018729,0.000319745,0.000308286,0.000109606
0.002281029,0.00032006,0.000308911,0.000109604
0.002573182,0.000320976,0.000309224,0.000109276
0.002899759,0.000320996,0.000309839,0.0001096
0.003265661,0.000321618,0.000309844,0.000108686
0.003676226,0.000322855,0.000310777,0.000108996
0.004137335,0.000323184,0.000311998,0.000108381
0.00465552,0.000323803,0.000312624,0.000108392
0.005238061,0.000325353,0.000313566,0.000107464
0.005893108,0.000326609,0.000314799,0.000107773
0.006629795,0.000326948,0.000315751,0.000107171
0.007458374,0.000329432,0.000316983,0.000106868
0.008390363,0.000330093,0.000318863,0.000106266
0.009438707,0.000332593,0.000320415,0.00010565
0.010617958,0.000334808,0.000322602,0.000105646
0.011944478,0.000337333,0.000324795,0.000104745
0.013436673,0.000339556,0.000326373,0.000104443
0.015115239,0.000341475,0.000327941,0.000104129
0.017003454,0.000342763,0.000328915,0.000103829
0.019127505,0.000344661,0.000330158,0.000104742
0.021516841,0.000345315,0.000331439,0.000105347
0.024204584,0.000345312,0.000331466,0.000106868
0.027227994,0.00034501,0.000332724,0.00010807
0.030628976,0.000345648,0.000335249,0.000110816
0.034454659,0.000346635,0.000338395,0.000113847
0.038758054,0.000348562,0.000340003,0.000118746
0.043598775,0.000350492,0.000343131,0.000123932
0.049043875,0.000352418,0.00034507,0.000132213
0.055168752,0.000353396,0.000347613,0.000143012
0.062058203,0.000353426,0.000348285,0.000154789
0.069807582,0.000354389,0.000348962,0.000168524
0.078524105,0.000354712,0.00035024,0.00018548
0.088328347,0.000356286,0.000349994,0.000204401
0.099355839,0.000355079,0.0003507,0.00022651
0.111759,0.00035512,0.000350508,0.000254951
0.125709131,0.000354837,0.000351403,0.000284092
0.141398832,0.000354665,0.000348712,0.000314893
0.159044549,0.000355686,0.000344655,0.000336687
0.178889558,0.000353324,0.000336986,0.000347112
0.201207235,0.000346076,0.00032498,0.000337748
0.22630474,0.00031983,0.00029446,0.000310239
0.254527122,0.000274061,0.000245885,0.000286177
0.286261946,0.000181315,0.000214205,0.000288308
0.321944535,0.000107769,0.000159766,0.000335577
0.362063527,4.20E-05,0.000118439,0.000340018
0.407167494,3.39E-05,0.00015293,0.000340413
0.457872003,0.000149486,0.000264724,0.00034346
0.514867723,0.000316563,0.000349367,0.000321305
0.578929007,0.000346723,0.000300601,0.000240952
0.650924087,0.000289547,0.000325729,0.000125779
0.731825829,0.000348873,0.000349078,0.000198122
0.822723687,0.000355488,0.000331175,0.000350366
0.924837351,0.00030854,0.000212292,0.000287691
1.03953087,6.74E-05,0.000160396,0.000340676
1.16832948,0.000200192,0.000351306,0.000322571
1.31293631,0.000310159,0.000334311,0.000108378
1.47525203,0.000356032,0.000333598,0.000349838
1.65739584,0.000216994,0.000124551,0.000339393
1.861727,0.000222308,0.00034335,0.000278799
2.09086895,0.000344672,0.000341028,0.000314096
2.34773469,0.000228622,0.00025495,0.000340424
2.6355536,0.000347264,0.000341441,0.000138683
2.95789766,0.000348176,0.000349504,0.00028743
3.31871057,0.000353142,0.000217958,0.00027033
3.72233438,0.000244496,0.000343809,0.000292809
4.17353678,0.000351013,0.000303382,0.000150298
4.67753601,0.000341732,0.000125784,0.000344919
5.24002075,6.01E-05,0.000242084,0.000344354
5.86716652,7.48E-05,0.000334062,0.00032594
6.56564426,6.10E-05,0.000331088,0.000239868
7.34261847,0.000210615,0.000255401,0.000344493
8.20572948,0.000285573,0.000130697,0.000342927
9.16306305,0.000313364,0.000289823,0.00033851
10.2230911,0.000313149,0.000321704,0.000154481
11.3945942,6.55E-05,0.000159016,0.000292148
12.6865425,0.000126376,0.000343386,0.000244087
14.1079416,4.91E-05,0.000341567,0.000335556
15.5258474,6.70E-05,0.000335048,0.000334927
16.9711189,0.000240864,0.0003476,0.000339719
18.6145477,0.000356442,0.000122406,0.000283136
20.4503803,0.000286103,0.000341937,0.000338041
22.4752045,0.000194135,0.000279438,0.00010534
23,0.000149484,0.000336042,0.000141771
25.3690376,0.00028986,0.000291365,0.000321923
27.8999386,0.00010563,0.000336123,0.000295384
30,0.000199502,0.00019539,0.000152622
,,0.000313874,0.000127308
,,,0.000196249
